Date,Open,High,Low,Close,Adj Close,Volume
2018-04-05,27.750000,28.059999,27.530001,27.889999,27.889999,92400
2018-04-06,27.830000,28.200001,27.540001,27.760000,27.760000,115100
2018-04-09,27.940001,28.110001,27.760000,27.780001,27.780001,60800
2018-04-10,27.980000,28.080000,27.760000,27.830000,27.830000,95300
2018-04-11,27.809999,27.879999,27.480000,27.650000,27.650000,67500
2018-04-12,27.790001,27.790001,27.610001,27.629999,27.629999,69100
2018-04-13,27.750000,27.840000,27.580000,27.840000,27.840000,153000
2018-04-16,28.000000,28.270000,27.930000,28.170000,28.170000,242700
2018-04-17,28.250000,28.400000,28.160000,28.299999,28.299999,125500
2018-04-18,28.320000,28.549999,28.320000,28.459999,28.459999,57500
2018-04-19,28.360001,28.510000,28.270000,28.320000,28.320000,35000
2018-04-20,28.250000,28.540001,28.160000,28.450001,28.450001,97300
2018-04-23,28.459999,28.469999,28.110001,28.230000,28.230000,77000
2018-04-24,28.360001,28.930000,28.350000,28.580000,28.580000,123200
2018-04-25,28.350000,28.959999,27.139999,27.570000,27.570000,308200
2018-04-26,27.540001,27.650000,26.559999,26.660000,26.660000,277500
2018-04-27,26.690001,27.180000,26.690001,26.850000,26.850000,173600
2018-04-30,26.770000,26.950001,25.889999,26.030001,26.030001,151500
2018-05-01,26.010000,26.320000,25.450001,26.270000,26.270000,164900
2018-05-02,26.240000,26.430000,26.040001,26.270000,26.270000,118200
2018-05-03,26.110001,26.240000,25.660000,25.680000,25.680000,712600
2018-05-04,25.690001,26.190001,25.580000,26.080000,26.080000,199000
